Month,ROC,State
May 2020,356.48387096774195,TN
Jun 2020,652.4333333333333,TN
Jul 2020,1896.258064516129,TN
Aug 2020,1502.516129032258,TN
Sept 2020,1336.1,TN
Oct 2020,2010.3870967741937,TN
Nov 2020,3625.133333333333,TN
Dec 2020,6470.935483870968,TN
Jan 2020,0.0,HI
Feb 2020,0.0,HI
Mar 2020,8.576923076923077,HI
Apr 2020,11.7,HI
May 2020,1.032258064516129,HI
Jun 2020,8.633333333333333,HI
Jul 2020,38.03225806451613,HI
Aug 2020,202.3548387096774,HI
Sept 2020,130.9,HI
Oct 2020,82.16129032258064,HI
Nov 2020,90.63333333333334,HI
Dec 2020,110.0,HI
Jan 2020,0.0,IN
Feb 2020,0.0,IN
Mar 2020,83.6923076923077,IN
Apr 2020,517.3666666666667,IN
May 2020,531.8709677419355,IN
Jun 2020,368.53333333333336,IN
Jul 2020,667.2258064516129,IN
Aug 2020,887.2258064516129,IN
Sept 2020,843.5666666666667,IN
Oct 2020,1883.1612903225807,IN
Nov 2020,5236.833333333333,IN
Dec 2020,5398.645161290323,IN
Jan 2020,0.0,KY
Feb 2020,0.0,KY
Mar 2020,22.653846153846153,KY
Apr 2020,134.46666666666667,KY
May 2020,163.16129032258064,KY
Jun 2020,192.2,KY
Jul 2020,479.5806451612903,KY
Aug 2020,621.6774193548387,KY
Sept 2020,702.2666666666667,KY
Oct 2020,1149.1935483870968,KY
Nov 2020,2421.8333333333335,KY
Dec 2020,2630.4193548387098,KY
Jan 2020,0.0,MN
Feb 2020,0.0,MN
Mar 2020,24.153846153846153,MN
Apr 2020,148.23333333333332,MN
May 2020,617.0967741935484,MN
Jun 2020,370.6666666666667,MN
Jul 2020,572.5806451612904,MN
Aug 2020,667.258064516129,MN
Sept 2020,759.4333333333333,MN
Oct 2020,1557.1935483870968,MN
Nov 2020,5603.2,MN
Dec 2020,2999.6774193548385,MN
Jan 2020,0.0,OK
Feb 2020,0.0,OK
Mar 2020,21.73076923076923,OK
Apr 2020,96.63333333333334,OK
May 2020,88.96774193548387,OK
Jun 2020,239.46666666666667,OK
Jul 2020,720.7741935483871,OK
Aug 2020,678.2903225806451,OK
Sept 2020,926.6666666666666,OK
Oct 2020,1109.4516129032259,OK
Nov 2020,2454.4666666666667,OK
Dec 2020,2950.1290322580644,OK
Jan 2020,0.0,PA
Feb 2020,0.0,PA
Mar 2020,192.1153846153846,PA
Apr 2020,1413.9666666666667,PA
May 2020,853.3548387096774,PA
Jun 2020,483.06666666666666,PA
Jul 2020,803.9677419354839,PA
Aug 2020,689.4193548387096,PA
Sept 2020,818.1333333333333,PA
Oct 2020,1539.9354838709678,PA
Nov 2020,5082.366666666667,PA
Dec 2020,8818.451612903225,PA
Jan 2020,0.0,SC
Feb 2020,0.0,SC
Mar 2020,41.57692307692308,SC
Apr 2020,160.06666666666666,SC
May 2020,180.74193548387098,SC
Jun 2020,808.3666666666667,SC
Jul 2020,1648.2903225806451,SC
Aug 2020,915.9032258064516,SC
Sept 2020,936.5333333333333,SC
Oct 2020,912.5483870967741,SC
Nov 2020,1315.4666666666667,SC
Dec 2020,2857.9032258064517,SC
Jan 2020,0.0,KS
Feb 2020,0.0,KS
Mar 2020,17.36,KS
Apr 2020,127.2,KS
May 2020,173.16129032258064,KS
Jun 2020,150.86666666666667,KS
Jul 2020,418.6774193548387,KS
Aug 2020,492.258064516129,KS
Sept 2020,582.2,KS
Oct 2020,828.0,KS
Nov 2020,2453.9666666666667,KS
Dec 2020,2088.2903225806454,KS
Jan 2020,0.0,MO
Feb 2020,0.0,MO
Mar 2020,53.96,MO
Apr 2020,199.43333333333334,MO
May 2020,176.03225806451613,MO
Jun 2020,291.73333333333335,MO
Jul 2020,918.6774193548387,MO
Aug 2020,1106.967741935484,MO
Sept 2020,1421.7,MO
Oct 2020,1875.7096774193549,MO
Nov 2020,4094.6666666666665,MO
Dec 2020,3249.483870967742,MO
Jan 2020,0.0,VT
Feb 2020,0.0,VT
Mar 2020,11.68,VT
Apr 2020,18.166666666666668,VT
May 2020,3.2903225806451615,VT
Jun 2020,7.5,VT
Jul 2020,6.580645161290323,VT
Aug 2020,6.548387096774194,VT
Sept 2020,3.9,VT
Oct 2020,13.67741935483871,VT
Nov 2020,65.86666666666666,VT
Dec 2020,102.35483870967742,VT
Jan 2020,0.0,VA
Feb 2020,0.0,VA
Mar 2020,49.92,VA
Apr 2020,477.8333333333333,VA
May 2020,893.741935483871,VA
Jun 2020,579.6333333333333,VA
Jul 2020,860.8064516129032,VA
Aug 2020,961.0645161290323,VA
Sept 2020,888.5333333333333,VA
